id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
workday:snc:/job/Folsom-CA/Software-Engineering-Intern--Summer-2027-_R0030761-1,Sierra Nevada Corporation,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"Folsom, CA",citizens-only,,,MATLAB,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://snc.wd1.myworkdayjobs.com/snc_external_career_site/job/Folsom-CA/Software-Engineering-Intern--Summer-2027-_R0030761-1
workday:snc:/job/Lone-Tree-CO/Software-Engineering-Intern--Summer-2027-_R0030757,Sierra Nevada Corporation,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"Lone Tree, CO",citizens-only,,,MATLAB,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://snc.wd1.myworkdayjobs.com/snc_external_career_site/job/Lone-Tree-CO/Software-Engineering-Intern--Summer-2027-_R0030757
workday:snc:/job/Plano-TX/Software-Engineering-Intern--Summer-2027-_R0030758,Sierra Nevada Corporation,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"Plano, TX",citizens-only,,,MATLAB,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://snc.wd1.myworkdayjobs.com/snc_external_career_site/job/Plano-TX/Software-Engineering-Intern--Summer-2027-_R0030758
workday:snc:/job/Southern-Pines-NC/Software-Engineering-Intern--Summer-2027-_R0030759,Sierra Nevada Corporation,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"Southern Pines, NC",unknown,,,MATLAB,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://snc.wd1.myworkdayjobs.com/snc_external_career_site/job/Southern-Pines-NC/Software-Engineering-Intern--Summer-2027-_R0030759
workday:snc:/job/Sparks-NV/Software-Engineering-Intern--Summer-2027-_R0030760,Sierra Nevada Corporation,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"Sparks, NV",citizens-only,,,MATLAB,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://snc.wd1.myworkdayjobs.com/snc_external_career_site/job/Sparks-NV/Software-Engineering-Intern--Summer-2027-_R0030760
ashby:hadrian-automation:2b0423c6-947d-4226-8d23-90743bd5e63e,Hadrian,Software Engineer Intern,Fall 2026,False,,Internship,,Software,"Los Angeles, CA",citizens-only,,,Python; TypeScript,2026-09-02T21:46:58.459+00:00,exact,2026-09-02T22:53:50Z,https://jobs.ashbyhq.com/hadrian-automation/2b0423c6-947d-4226-8d23-90743bd5e63e
ashby:hadrian-automation:f718bcfe-3f5b-4682-a294-697499caf813,Hadrian,Data Science/ Data Engineer Intern,Fall 2026,False,,Internship,,Data & ML/AI,"Los Angeles, CA",citizens-only,,,Python; SQL,2026-09-02T21:47:29.454+00:00,exact,2026-09-02T22:53:50Z,https://jobs.ashbyhq.com/hadrian-automation/f718bcfe-3f5b-4682-a294-697499caf813
ashby:reflect-orbital:d2ad1427-89aa-404d-8678-7b8e6dace5e2,Reflect Orbital,Flight Software Engineering Intern,Not stated,True,,Internship,,Software,"Hawthorne, CA",unknown,,$27 – $31 per hour,,2026-09-02T21:57:24.003+00:00,exact,2026-09-02T22:53:50Z,https://jobs.ashbyhq.com/reflect-orbital/d2ad1427-89aa-404d-8678-7b8e6dace5e2
ashby:reflect-orbital:d5ade048-5555-4a77-b002-d117254b6e6b,Reflect Orbital,Embedded Firmware Engineering Intern,Not stated,True,,Internship,,Hardware,"Hawthorne, CA",unknown,,$27 – $31 per hour,Python; C++,2026-09-02T21:57:26.937+00:00,exact,2026-09-02T22:53:50Z,https://jobs.ashbyhq.com/reflect-orbital/d5ade048-5555-4a77-b002-d117254b6e6b
greenhouse:fspco-op012325:8769080002,Flagship Pioneering,Pioneering Intelligence: Agentic AI Co-Op,Not stated,True,,Co-op,,Data & ML/AI,"Cambridge, MA USA",unknown,6,$25–$45/hr,Python,2026-09-02T09:51:40-04:00,exact,2026-09-02T17:36:07Z,https://job-boards.greenhouse.io/fspco-op012325/jobs/8769080002
greenhouse:generalmatter:5377131008,General Matter,Summer 2027 Internship - Embedded Software Engineering,Summer 2027,False,,Internship,,Software,"Los Angeles, CA",unknown,,$32–$46/hr,Python; C++; Go; Rust,2026-09-02T15:52:13-04:00,exact,2026-09-02T20:22:42Z,https://job-boards.greenhouse.io/generalmatter/jobs/5377131008
greenhouse:testnisc:8167886,National Information Solutions Cooperative (NISC),Intern - Data Engineer,Not stated,True,,Internship,,Data & ML/AI,"Mandan, ND",unknown,,,Python; Java; SQL; Scala; LLMs; AWS; Git; Airflow,2026-09-02T12:39:49-04:00,exact,2026-09-02T17:36:07Z,https://job-boards.greenhouse.io/testnisc/jobs/8167886
greenhouse:testnisc:8174096,National Information Solutions Cooperative (NISC),Intern - Software Development,Not stated,True,,Internship,,Software,"Mandan, ND",unknown,,,Java; TypeScript; JavaScript; Angular; HTML/CSS; AWS; Linux; PostgreSQL,2026-09-02T12:46:41-04:00,exact,2026-09-02T17:36:07Z,https://job-boards.greenhouse.io/testnisc/jobs/8174096
lever:dynamiccatholic:603f082e-07c8-4b1c-ac09-8963c51229ad,Dynamic Catholic,Internship - Front-End UX Intern,Not stated,True,,Internship,,Other,"Erlanger, Kentucky",no-sponsorship,,,JavaScript; HTML/CSS,2026-09-02T18:00:46Z,exact,2026-09-03T15:26:58Z,https://jobs.lever.co/dynamiccatholic/603f082e-07c8-4b1c-ac09-8963c51229ad
lever:dynamiccatholic:e94fa581-892c-4958-9515-0221f862ce57,Dynamic Catholic,Internship - Software Developer - Commerce Cloud,Not stated,True,,Internship,,Software,"Erlanger, Kentucky",unknown,,,JavaScript; HTML/CSS,2026-09-02T20:55:13Z,exact,2026-09-03T15:26:58Z,https://jobs.lever.co/dynamiccatholic/e94fa581-892c-4958-9515-0221f862ce57
